method,text_prompt,test/clip_score,test/clip_directional_score,val/lpips,val/psnr,val/ssim
dge-iclight,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from top",0.2453740835189819,0.1091845035552978,0.1792755126953125,21.873897552490234,0.7325412034988403
dge-iclight,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from top",0.3356043100357055,0.0805959776043891,0.1341400146484375,23.20065689086914,0.6444976329803467
dge-iclight,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from left",,,0.170806884765625,21.57078742980957,0.6409003734588623
dge-iclight,"television, detailed screen, shadow from window, indoor, sunlight from left",0.2461887598037719,0.099116139113903,0.0897445678710937,25.504165649414062,0.7786796689033508
dge-iclight,"lego, detailed structure, indoor, warm atmosphere, sunlight from top",0.2437540292739868,0.0470561981201171,0.1117019653320312,21.96989250183105,0.6796976327896118
dge-iclight,"television, detailed screen, shadow from window, indoor, sunlight from front",0.2401015162467956,0.090700089931488,0.0935897827148437,25.972387313842773,0.759469747543335
dge-iclight,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from right",0.3022876977920532,0.0772210657596588,0.1026229858398437,22.21953010559082,0.7449934482574463
dge-iclight,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from right",0.3312472105026245,0.0826705247163772,0.1307296752929687,23.12973403930664,0.6552851796150208
dge-iclight,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from front",0.2120192199945449,0.0461174584925174,0.170074462890625,21.147613525390625,0.686668336391449
dge-iclight,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from front",,,0.15972900390625,21.98776626586914,0.6046823263168335
dge-iclight,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from bottom",,,0.1691207885742187,21.56388282775879,0.6753230690956116
dge-iclight,"television, detailed screen, shadow from window, indoor, sunlight from top",0.2379904091358184,0.1016071662306785,0.1474838256835937,21.330406188964844,0.7205878496170044
dge-iclight,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from front",0.2945731580257416,0.0704137235879898,0.1079483032226562,21.62646102905273,0.7365258932113647
dge-iclight,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from top",0.252170592546463,0.0874429866671562,0.1493988037109375,21.88167762756348,0.7431014776229858
dge-iclight,"table, detailed surface, warm atmosphere, indoor, sunlight from right",0.1942334771156311,0.1099003925919532,0.0712203979492187,24.27970314025879,0.80977463722229
dge-iclight,"stamp, detailed texture, natural lighting, outdoor, sunlight from bottom",0.197666734457016,0.006602659355849,0.1437225341796875,23.551498413085938,0.7477922439575195
dge-iclight,"lego, detailed structure, indoor, warm atmosphere, sunlight from front",0.2464503049850464,0.0320432819426059,0.1041259765625,21.866962432861328,0.6933921575546265
dge-iclight,"lego, detailed structure, indoor, warm atmosphere, sunlight from bottom",0.2396419644355774,0.0287549011409282,0.1042022705078125,22.27716636657715,0.696893572807312
dge-iclight,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from bottom",,,0.15618896484375,22.03569221496582,0.6067154407501221
dge-iclight,"stamp, detailed texture, natural lighting, outdoor, sunlight from top",0.1865488737821579,0.0255272220820188,0.151824951171875,23.308277130126957,0.7476437091827393
dge-iclight,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from bottom",0.2524755001068115,0.076759859919548,0.1441116333007812,22.018943786621094,0.74300217628479
dge-iclight,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from bottom",0.2460927963256836,0.0851090475916862,0.18890380859375,20.96593475341797,0.7119340300559998
dge-iclight,"lego, detailed structure, indoor, warm atmosphere, sunlight from right",0.2441087067127227,0.0344743058085441,0.1048355102539062,22.245311737060547,0.6883580684661865
dge-iclight,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from left",0.3359823822975158,0.0767384320497512,0.1352691650390625,22.80966567993164,0.6392560601234436
dge-iclight,"lego, detailed structure, indoor, warm atmosphere, sunlight from left",0.248186394572258,0.0283147189766168,0.104034423828125,22.28318214416504,0.6862311363220215
dge-iclight,"table, detailed surface, warm atmosphere, indoor, sunlight from front",0.1849026978015899,0.1255877465009689,0.0751495361328125,23.866151809692383,0.8099116086959839
dge-iclight,"television, detailed screen, shadow from window, indoor, sunlight from bottom",0.2395580261945724,0.0913502350449562,0.1013717651367187,24.05657196044922,0.7532306909561157
dge-iclight,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from right",0.2430838495492935,0.090473935008049,0.1772918701171875,21.56269073486328,0.7265053987503052
dge-iclight,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from front",0.2478918433189392,0.0692221000790596,0.1455917358398437,22.06779289245605,0.74751877784729
dge-iclight,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from front",0.2372263669967651,0.0831807255744934,0.1747894287109375,21.970951080322266,0.7326152920722961
dge-iclight,"stamp, detailed texture, natural lighting, outdoor, sunlight from front",0.1844917386770248,0.0186755210161209,0.1420974731445312,23.67513465881348,0.7555973529815674
dge-iclight,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from right",,,0.16326904296875,21.577617645263672,0.7070769667625427
dge-iclight,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from top",,,0.1791229248046875,20.820186614990234,0.6447311639785767
dge-iclight,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from top",0.2890196442604065,0.0757755413651466,0.1088485717773437,21.78163719177246,0.734020471572876
dge-iclight,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from right",0.2536452710628509,0.0712426006793975,0.16705322265625,21.321521759033203,0.7150781154632568
dge-iclight,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from left",0.2605317831039428,0.0630352348089218,0.1519927978515625,22.114776611328125,0.7296204566955566
dge-iclight,"television, detailed screen, shadow from window, indoor, sunlight from right",0.2453339397907257,0.094188280403614,0.0964202880859375,24.522083282470703,0.7547967433929443
dge-iclight,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from left",0.2469647675752639,0.0877990648150444,0.16986083984375,22.304298400878903,0.7353389859199524
dge-iclight,"table, detailed surface, warm atmosphere, indoor, sunlight from bottom",0.1836940050125122,0.108748659491539,0.0725746154785156,24.125049591064453,0.809931755065918
dge-iclight,"stamp, detailed texture, natural lighting, outdoor, sunlight from left",0.1883498132228851,0.0004725243488792,0.1521759033203125,23.105867385864254,0.7361129522323608
